,name,address,stars,score,link,price,currency,main_image
1476,"Chung cư 25 m² 1 phòng ngủ, 1 phòng tắm riêng ở Phước Mỹ (CORAL )","Phước Mỹ, Đà Nẵng - cách trung tâm 2,3 km",0,"8,1",https://www.agoda.com/vi-vn/coral-apartment-standard/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,346.320,346.320,https://pix8.agoda.net/hotelImages/agoda-homes/12192690/ba8f34da3af823ec6e163a52adfc51a8.jpg?ca=9&ce=1&s=450x450
1477,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/luxury-ocean-view-villas-residence-by-danatrip/hotel/all/a-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1478,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/emblem-sea-4-bedroom-villas_2/hotel/all/a-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1479,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/rustic-home-3mins-to-beach-4pp-free-pickup-airport/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1480,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/luxury-private-pool-villas-in-5-star-beach-resort-near-downtown/hotel/all/a-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1481,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/sweet-home-h36160698/hotel/da-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1482,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/casana-studio-2mins-to-beach-perfect-forlongstay/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1483,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/4-season-apartments/hotel/all/a-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1484,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/h-suites-beautiful-1-bedroom-near-my-khe-beach/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1485,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/3a-33tkd-apartment-near-beach-free-sauna-gym/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
